CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
GH1,0.008500992510973323,0.040283175875650015,0.000001,0.10625,0.2513,-0.23606146,0.3087212333,0.7459075912580999
GHR,0.03684886375929661,0.108356648047913,0.000001,0.38194,0.52767,1.174658394,0.756930627,0.7338692132658688
GJA1,0.6672140877479573,0.038421944545574016,0.000001,0.95221,0.36533,1.247420108,-0.2717554808,0.7477375679989529
GJB1,0.016104061279934176,0.000001,0.7083392855079527,0.000001,0.000001,2.231090064,0.2132627603,0.006398073634269181
GJB2,0.018942787228482773,0.10010139060902384,0.000001,0.42941,0.50569,-1.480004839,0.6632852741,0.775734780948123
GJB4,0.7557089056043143,0.012512553788756983,0.000001,0.18667,0.11084,-0.541611296,0.6448759713,0.012831210905299734
GJB6,0.000001,0.029054045283042812,0.000001,0.05323,0.32175,0.830914464,0.2609916862,0.7786808331429838
GJC3,0.008426108837994247,0.031631307173525414,0.000001,0.15085,0.10686,0.217280838,0.1948527018,0.0
GLA,0.009566372733896062,0.000001,0.8966598930871102,0.09385,0.74184,0.327410498,0.0387103395,0.8662299336363808
GLI2,0.7917671561136763,0.01603654366814317,0.000001,0.97757,0.34098,1.677877599,-1.2422138456,0.7414213198752555
GLI3,0.6955324320719772,0.015897937705070336,0.000001,0.9964,0.10708,2.533448556,-1.3101713164,0.029494231649596213
GLRA1,0.019229714227300777,0.05301549720782983,0.000001,0.31125,0.20061,0.703792323,-0.5124440339,0.5989266566467099
GNRHR,0.000001,0.07035012394344227,0.000001,0.441,0.23622,0.200786187,-0.1156124935,0.5489988732388926
GRIN2A,0.7839517129956033,0.012718580941537506,0.000001,0.37855,0.47307,4.240017283,-1.4550912085,0.061047518713201965
GRIP1,0.06134828864175008,0.6503842411843652,0.000001,0.4821,0.27614,1.776034843,-0.5290341361,0.13013752272574208
HDC,0.6103967859345839,0.08871185482457747,0.000001,0.19079,0.25621,1.263071951,-0.2442495952,0.046268854329390686
HMOX1,0.030695843039118723,0.74687999862805,0.000001,0.11014,0.86226,-0.7555077,-0.6024505683,0.09468831462540858
HNF1A,0.7265192725500953,0.03731077191120028,0.000001,0.000001,0.000001,1.524968631,-0.4408474766,0.5672052976931149
HNF1B,0.7636164447004194,0.04875643441396412,0.000001,0.39307,0.7081,2.453253599,-0.5381321944,0.11735629502997413
HNF4A,0.7275367921692835,0.014716044939421557,0.000001,0.94499,0.93785,1.524396205,-0.9552047081,0.7112422417135511
HOXD13,0.14885449084475938,0.05739279777564631,0.000001,0.83205,0.40904,1.652410861,-0.0953862162,0.09741512514518669
HRAS,0.7924441165006045,0.04254704518227311,0.000001,0.99944,0.9998,2.027008417,-0.3397150076,0.7682711157182568
HSD11B1,0.04153765381420964,0.0438203160384364,0.000001,0.38141,0.63224,0.466032942,-0.4279001894,0.08061686906754537
SLC6A4,0.07690749262683012,0.12284999816208562,0.000001,0.12724,0.55872,2.321163518,-0.6006302561,0.1039791188711678
IFNGR1,0.006283168770359375,0.20690979979012772,0.000001,0.50087,0.51837,-0.659893534,-0.2001574165,0.8480608570245308
IGF1,0.15540146047525313,0.7422379892866809,0.000001,0.66422,0.99377,1.59180767,0.237127192,0.6911657447364166
