CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
AKT3,0.6338072144532999,0.029790621371847945,0.000001,0.51738,0.24974,2.87314264,-0.2515300117,0.01148032571947292
ALK,0.6546465891953657,0.024801008189228962,0.000001,0.21536,0.41881,1.226494063,-2.2419749048,0.6537761598065434
ALOX5,0.6575430458013326,0.026640864142733468,0.000001,0.58302,0.38768,1.760565513,-0.9533859014,0.7478717083695525
ALS2CL,0.6138838649920854,0.02825849834852368,0.000001,0.1449,0.10583,0.444451027,-0.9186447033,0.01860686106509292
ANG,0.5908230921604326,0.000001,0.000001,0.000001,0.000001,0.000001,0.237127192,0.0
ANK2,0.7120574869564281,0.03335461751149966,0.000001,0.96488,0.1321,2.164661678,-3.3285089461,0.6383561024365172
ANKH,0.6603460488471574,0.006399909810317691,0.000001,0.000001,0.000001,2.086459151,-0.3783461165,0.0
ANKRD11,0.6252946079657589,0.006220869548280736,0.000001,0.2494,0.10736,2.873701239,-4.3772815014,0.04730956630092018
ANKRD26,0.6283938757271356,0.024771812711129746,0.000001,0.32245,0.10156,-0.513079175,2.1515285167,0.6262577897559294
ANLN,0.7105461573806997,0.06117460142922569,0.000001,0.52557,0.15234,0.206111409,-1.1463800926,0.058408495196448584
ANO3,0.5746341206295806,0.000001,0.000001,0.28055,0.12864,1.971279835,-1.3520824581,0.0
AP1S3,0.6428356439677129,0.018520291399307474,0.000001,0.14506,0.10315,0.000001,1.3026926762,0.0
APC,0.7755158286801459,0.0210321226012012,0.000001,0.53216,0.57092,1.15881505,-2.5235434792,0.6896096383136788
APCDD1,0.5969655011529048,0.019106062355979028,0.000001,0.21038,0.10984,-0.545671581,-1.3723173955,0.02924092206559458
APOC3,0.6621236744286607,0.07793047009868245,0.000001,0.33135,0.73068,0.000001,0.3694071088,0.04957832449985806
ARHGAP31,0.6890957138597009,0.01903340483769433,0.000001,0.000001,0.000001,1.86293161,0.5878473333,0.01856971836144761
