CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
ADAMTS10,0.006289018210148575,0.6224639023608397,0.000001,0.28833,0.12054,2.78364576,-1.3209750266,0.6997307020869703
ADAMTSL4,0.000001,0.662027136482794,0.000001,0.10654,0.09865,-0.528484281,-0.00377668,0.6968857363818088
ADCK3,0.015614834810273336,0.7579369429009934,0.000001,0.12524,0.17185,-1.27513023,-1.7012826384,0.8035443598297135
AFG3L2,0.000001,0.015758948888551675,0.000001,0.5297,0.10986,2.666376536,-0.6024505683,0.012502578864832633
AGK,0.000001,0.6258510416316858,0.000001,0.18005,0.12429,0.48114264,0.3950884616,0.671293029770835
AGPAT2,0.049829898779100934,0.6670686057570724,0.000001,0.1025,0.16015,0.954018562,0.1984903706,0.64870230609544
AGPS,0.03858531943437399,0.6737800860691371,0.000001,0.51504,0.19677,2.365543822,-0.3838075643,0.040709457654799844
AGTR1,0.019074819127567616,0.7269048219330598,0.000001,0.16778,0.82322,0.096441902,0.106667882,0.14597024404483228
AHI1,0.010181405156995641,0.6829537980662688,0.000001,0.15848,0.12754,0.238045594,0.4555671536,0.00630112436066102
AICDA,0.000001,0.6881058700057362,0.000001,0.13659,0.44178,1.995990944,0.0387103395,0.6777893549296194
AIPL1,0.025128568565254833,0.04710503976397119,0.000001,0.13854,0.10568,0.908077914,1.6443463326,0.015659269520529682
AKR1C2,0.000001,0.6420084717169386,0.000001,0.000001,0.000001,0.378674571,-0.0935664077,0.5832552830294746
AKR1C4,0.006359059628997933,0.10474151307042623,0.000001,0.17952,0.15444,-2.261589035,-0.0017432382,0.031372022446631
ALAD,0.014154370872751296,0.6286896181037301,0.000001,0.11936,0.55928,0.975378766,-0.5583574367,0.6763795518593511
ALDH18A1,0.025870576718706663,0.6798041042526152,0.000001,0.29356,0.46298,1.669443302,-0.9313380396,0.08750761766569738
ALMS1,0.044497242111648364,0.7143199415541946,0.000001,0.07684,0.1104,-0.458619126,2.2852761184,0.7413084165651671
ALOX12B,0.000001,0.6912592567588867,0.000001,0.000001,0.000001,1.09758067,-0.6190392752,0.0
