CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
ACE,0.11260847082733053,0.14061553696852888,0.000001,0.78058,0.71876,-1.070953179,-0.573431473,0.11938928562623499
ACTA1,0.22082834829541415,0.000001,0.000001,0.90573,0.93721,4.27886137,-0.2956224973,0.21563818688701633
ADA,0.012448932264929288,0.7930113562330576,0.000001,0.11131,0.68435,0.44350528,-0.0917467567,0.7595538712551962
ADAMTS2,0.11402542769329978,0.63417553470576,0.000001,0.33346,0.31484,1.457296531,-1.8007727719,0.7808557516088731
ADSL,0.08012464212993628,0.7467466617373381,0.000001,0.77056,0.31214,0.126476849,-0.6006302561,0.06588963285325408
AGA,0.006321297074048115,0.8075905685136665,0.000001,0.03662,0.2202,-0.199715031,0.7532918027,0.0793765312197277
AGL,0.06086617988089369,0.7439384095360358,0.000001,0.44349,0.24792,0.514665929,1.8592958311,0.6818455460775209
AGPAT2,0.049829898779100934,0.6670686057570724,0.000001,0.1025,0.16015,0.954018562,0.1984903706,0.64870230609544
AGPS,0.03858531943437399,0.6737800860691371,0.000001,0.51504,0.19677,2.365543822,-0.3838075643,0.040709457654799844
AGT,0.06102548178119247,0.6560713378115667,0.000001,0.50213,0.62272,-1.622498833,0.4923704915,0.14147162208247835
AGTR1,0.019074819127567616,0.7269048219330598,0.000001,0.16778,0.82322,0.096441902,0.106667882,0.14597024404483228
AGXT,0.08374746042462931,0.814904506454883,0.000001,0.59321,0.59981,-0.810397,0.6448759713,0.8135732526560442
AHCY,0.0274131316629894,0.6770839326728583,0.000001,0.81482,0.55936,0.973149208,-0.0678812493,0.7509507313250279
AICDA,0.000001,0.6881058700057362,0.000001,0.13659,0.44178,1.995990944,0.0387103395,0.6777893549296194
AIPL1,0.025128568565254833,0.04710503976397119,0.000001,0.13854,0.10568,0.908077914,1.6443463326,0.015659269520529682
ALAD,0.014154370872751296,0.6286896181037301,0.000001,0.11936,0.55928,0.975378766,-0.5583574367,0.6763795518593511
ALDH3A2,0.000001,0.7332335567090993,0.000001,0.07195,0.33841,0.042862842,-0.1119732654,0.09481956661914678
ALDH4A1,0.030987695282151048,0.7235113832110022,0.000001,0.72198,0.21304,-0.396467481,0.2075899273,0.1059893196440836
ALDH5A1,0.05102382478861468,0.6858427949497167,0.000001,0.80822,0.21248,0.379993294,0.3987253137,0.04614354480539033
ALDOA,0.04084565059284905,0.6901118498032309,0.000001,0.30328,0.57075,0.820837553,-0.5804039787,0.8093002339041858
ALDOB,0.006281337110664024,0.7882147771089487,0.000001,0.2477,0.7282,0.387110735,0.062575634,0.7444045663961821
ALG3,0.000001,0.7118480861531392,0.000001,0.000001,0.000001,0.511721668,-0.6024505683,0.700134694906211
ALG6,0.021147838772141818,0.789264826736267,0.000001,0.30252,0.17567,0.978512591,0.2866749959,0.6372939700455064
ALOX12B,0.000001,0.6912592567588867,0.000001,0.000001,0.000001,1.09758067,-0.6190392752,0.0
ALOXE3,0.009473846451101175,0.7054210531060727,0.000001,0.09931,0.15375,0.585060786,-0.9956649357,0.04077637689203746
ALPL,0.11511809747502914,0.11884464973560528,0.000001,0.4558,0.9277,2.243371645,7.61E-05,0.8419065218828915
ALS2,0.006382199249692671,0.7800464369618181,0.000001,0.000001,0.000001,2.046662403,-1.4550912085,0.10832413504845856
AMACR,0.038330019798351704,0.644191795444193,0.000001,0.000001,0.000001,2.492569177,1.4183845793,0.6360995821159938
