CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
ACADVL,0.01900396039627677,0.7974170361029196,0.000001,0.09093,0.28643,0.864823796,0.0257608831,0.759219202203458
ACAT1,0.041840547211385005,0.7376826062979809,0.000001,0.33314,0.47999,0.521074682,-0.5381321944,0.770660604341162
ACO2,0.02349645278942582,0.7198119529229705,0.000001,0.46098,0.78224,3.370762025,-0.9974819279,0.15796238253109032
ACOX1,0.014699844107382697,0.7857080545708515,0.000001,0.16046,0.77183,1.343833803,0.134171522,0.12431493175112383
ACP5,0.006279435692937865,0.7183050541877528,0.000001,0.16084,0.25398,-0.253876285,0.3546327142,0.6914497488813688
ACSF3,0.012738579835941767,0.7777389681831534,0.000001,0.000001,0.000001,-0.026822634,-0.8817930753,0.7202695025276707
ACY1,0.03407822239539325,0.7752446571711543,0.000001,0.0814,0.27687,1.024025994,0.3307675085,0.09333899617270577
ADA,0.012448932264929288,0.7930113562330576,0.000001,0.11131,0.68435,0.44350528,-0.0917467567,0.7595538712551962
ADAM17,0.07188145299924124,0.6280467910829329,0.000001,0.26201,0.38139,2.406736376,0.5989630423,0.6731913491446069
ADAM9,0.008401640652626816,0.6854021056469524,0.000001,0.23427,0.21827,2.115281633,-0.2019769636,0.031688488869882736
ADAMTS10,0.006289018210148575,0.6224639023608397,0.000001,0.28833,0.12054,2.78364576,-1.3209750266,0.6997307020869703
ADAMTS13,0.006278018991940206,0.7650588162749705,0.000001,0.0682,0.12877,1.217765948,0.6226909873,0.6408382064165808
ADAMTS17,0.009479425538413301,0.726533987695683,0.000001,0.24727,0.12398,-1.019600062,-2.2675926557,0.6340759168169476
ADAMTS18,0.012843384774027857,0.737526056514689,0.000001,0.23474,0.09538,-1.58271453,-0.0883322587,0.05625502843152799
ADAMTS2,0.11402542769329978,0.63417553470576,0.000001,0.33346,0.31484,1.457296531,-1.8007727719,0.7808557516088731
ADAMTSL2,0.014883828023840806,0.579879491881934,0.000001,0.26032,0.11516,3.85004511,0.000001,0.6840823851303108
ADAMTSL4,0.000001,0.662027136482794,0.000001,0.10654,0.09865,-0.528484281,-0.00377668,0.6968857363818088
ADCK3,0.015614834810273336,0.7579369429009934,0.000001,0.12524,0.17185,-1.27513023,-1.7012826384,0.8035443598297135
ADCK4,0.012694572799419908,0.7185875434503997,0.000001,0.13742,0.09814,0.651438082,0.0257608831,0.5810092827593011
ADCY1,0.054656637326552224,0.6553513163366613,0.000001,0.2818,0.18088,4.587399713,-1.394367777,0.6445832773981688
ADSL,0.08012464212993628,0.7467466617373381,0.000001,0.77056,0.31214,0.126476849,-0.6006302561,0.06588963285325408
AGA,0.006321297074048115,0.8075905685136665,0.000001,0.03662,0.2202,-0.199715031,0.7532918027,0.0793765312197277
AGK,0.000001,0.6258510416316858,0.000001,0.18005,0.12429,0.48114264,0.3950884616,0.671293029770835
AGL,0.06086617988089369,0.7439384095360358,0.000001,0.44349,0.24792,0.514665929,1.8592958311,0.6818455460775209
AGPAT2,0.049829898779100934,0.6670686057570724,0.000001,0.1025,0.16015,0.954018562,0.1984903706,0.64870230609544
AGPS,0.03858531943437399,0.6737800860691371,0.000001,0.51504,0.19677,2.365543822,-0.3838075643,0.040709457654799844
AGRN,0.06893750710069836,0.7217835291262306,0.000001,0.40227,0.64499,0.767570819,-0.2245424874,0.8326199159726235
AGT,0.06102548178119247,0.6560713378115667,0.000001,0.50213,0.62272,-1.622498833,0.4923704915,0.14147162208247835
AGTR1,0.019074819127567616,0.7269048219330598,0.000001,0.16778,0.82322,0.096441902,0.106667882,0.14597024404483228
AGXT,0.08374746042462931,0.814904506454883,0.000001,0.59321,0.59981,-0.810397,0.6448759713,0.8135732526560442
AHCY,0.0274131316629894,0.6770839326728583,0.000001,0.81482,0.55936,0.973149208,-0.0678812493,0.7509507313250279
AHI1,0.010181405156995641,0.6829537980662688,0.000001,0.15848,0.12754,0.238045594,0.4555671536,0.00630112436066102
AICDA,0.000001,0.6881058700057362,0.000001,0.13659,0.44178,1.995990944,0.0387103395,0.6777893549296194
AIMP1,0.000001,0.70067728125308,0.000001,0.09329,0.15941,-0.352188527,0.0846217467,0.046572943578597426
