CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
APP,0.13281084937531876,0.000001,0.000001,0.95878,0.5574,2.652316839,-0.9772525253,0.05822083044645119
ARHGEF10,0.6865347230013245,0.051921205419343364,0.000001,0.000001,0.000001,-1.234800463,-1.0162864212,0.0805793156118531
ATP1A2,0.000001,0.01887368080123537,0.000001,0.000001,0.000001,4.537008244,-1.3741324358,0.7082301273466352
ATP2A2,0.6380687671887703,0.000001,0.000001,0.26556,0.46129,3.944348848,-1.5964553144,0.024332849822315577
ATP2C1,0.6535503751649338,0.000001,0.000001,0.90393,0.20899,2.672157486,-0.290161348,0.02208503862806549
AVP,0.000001,0.0,0.000001,0.000001,0.000001,1.186288045,0.000001,0.7049987197753745
BMPR1A,0.6707977858975949,0.028768526593728562,0.000001,0.98203,0.5392,1.732096303,-0.4040327464,0.040410323089715205
BMPR2,0.7114007749140663,0.04604645883518663,0.000001,0.85302,0.5014,1.357419243,-0.9313380396,0.8098619357012901
BRCA1,0.6989267650387125,0.06436571853548058,0.000001,0.99897,0.94795,-0.420634577,0.4646954134,0.16114797387566823
BRCA2,0.1772510275149549,0.0595666954517608,0.000001,0.97144,0.70346,0.521546103,3.7318834236,0.848051527780149
BRIP1,0.01275721239966668,0.062296621652353876,0.000001,0.20765,0.27124,1.412602361,-0.6374526584,0.7848182682357259
BSCL2,0.000001,0.6544891403549244,0.000001,0.000001,0.000001,0.552075563,-0.179930907,0.6658972582612759
C1QTNF5,0.6513267156647324,0.000001,0.000001,0.000001,0.000001,2.695510119,0.000001,0.019124390845526505
C3,0.010451330985022107,0.6632456891645228,0.000001,0.000001,0.000001,3.269482017,-1.6886985056,0.7361368830746439
C8A,0.012608738850159383,0.6684907194695188,0.000001,0.10455,0.10694,-0.761458027,1.5818407531,0.6266734638481815
C8B,0.000001,0.7297992940798008,0.000001,0.05295,0.12134,-1.076985776,0.558509856,0.7257017237408389
CACNA1A,0.7971123559406382,0.06810119194940459,0.000001,0.58636,0.55905,0.000001,-1.7822986937,0.7383218052803928
CACNA1S,0.6998140582271567,0.07175996308671696,0.000001,0.000001,0.000001,0.09798448,-1.2094200198,0.7189190041206016
NOD2,0.006367346501786724,0.17683926957874121,0.000001,0.13546,0.69333,-1.741601479,0.5749342807,0.7446134800145386
CASP10,0.6464539323491097,0.03290712239934132,0.000001,0.000001,0.000001,0.826955875,-0.0899272547,0.6804359567826567
CASR,0.062071265416185635,0.1201286838971245,0.000001,0.26152,0.6615,4.05723362,-0.108334733,0.6883433728989327
CAT,0.0186071786176862,0.7570077090094152,0.000001,0.49631,0.94977,0.286037712,-0.3103880539,0.8104442338199076
CAV3,0.10502957597458899,0.05117214466602634,0.000001,0.38282,0.55696,0.478984566,0.439181676,0.8179337617129515
CD4,0.8261769084592057,0.04536271589189756,0.000001,0.44678,0.98357,1.308943466,0.5750976438,0.07926855785984624
CDKN1C,0.7135207315722771,0.000001,0.000001,0.000001,0.000001,2.272461674,0.000001,0.6920525568813626
CDKN2A,0.6834432324362522,0.046413836951793006,0.000001,0.03037,0.06846,2.828520368,0.7257944159,0.758325883629219
CDSN,0.024285870436523964,0.000001,0.000001,0.000001,0.000001,1.080107157,2.109277534,0.01888000148918151
CES1,0.04335796746792672,0.7530370632559403,0.000001,0.4719,0.33344,0.443462002,1.9126142825,0.10683346680573534
CFH,0.029307052036555634,0.0771163533269893,0.000001,0.000001,0.000001,0.744664789,0.5198833832,0.6913023591797329
